Name,DOB,Cons,Cons Party,Cons Electoral District,I,I Party,I Electoral District,II,II Party,II Electoral District,III,III Party,III Electoral District,IV,IV Party,IV Electoral District,V,V Party,V Electoral District,VI,VI Party,VI Electoral District,VII,VII Party,VII Electoral District,VIII,VIII Party,VIII Electoral District,IX,IX Party,IX Electoral District,X,X Party,X Electoral District,XI,XI Party,XI Electoral District,XII,XII Party,XII Electoral District,XIII,XIII Party,XIII Electoral District,XIV,XIV Party,XIV Electoral District,XV,XV Party,XV Electoral District
Francisco Rodrigues Porto,1935-01-01,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Gabriel Corte-Real Carvalho Goucha,1962-05-28,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,0,,,0,,,0,,
António Alfredo Delgado da Silva Preto,1958-11-18,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,
José Nobre Fernandes,1946-01-01,0,,,0,,,0,,,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Augusto Clemente de Carvalho,1948-12-18,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,
Maria Helena do Rego da Costa Salema Roseta,1947-12-23,1,PPD,LISBOA,1,PPD,LISBOA,1,PSD,SETÚBAL,0,,,0,,,1,Independente desde 1988-12-15  PS até 1988-12-15,PORTO,0,,,1,PS,LISBOA,1,PS,LISBOA,1,PS,COIMBRA,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,
Manuel Jorge Pedrosa Forte de Goes,1956-02-27,0,,,0,,,0,,,1,CDS,SETÚBAL,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Bento da Silva Galamba,1968-11-11,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,
José Pinto Simões,1946-12-12,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Alberto Barbosa de Oliveira,1942-10-13,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Porfirio Varges,1943-09-11,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Umberto Pereira Pacheco,1952-11-27,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,
José Tomás Vasques,1951-09-06,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Gonçalo Matos Correia de Almeida Velho,1970-07-31,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Moreira Raposo,1954-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,
Artur Miguel Claro da Fonseca Mora Coelho,1952-07-04,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,
Raimundo Pedro Narciso,1938-06-18,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Claudio Ramos Monteiro,1964-09-27,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Natalina Nunes Esteves Pires Tavares de Moura,1942-12-09,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Manuel Rosa do Egípto,1953-06-06,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria Eduarda Bento Alves Ferronha,1931-11-25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Rui José da Costa Pereira,1964-07-27,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,
Carlos Alberto Pinto de Oliveira,1947-08-03,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria Manuela de Almeida Costa Augusto,1955-09-07,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,
Armando Jorge Paulino Domingos,1954-08-25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Luis Bento Feliz,1941-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Alexandre Martins Machado Sargento,1973-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Casimiro Francisco Ramos,1962-11-05,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Ferreira Jerónimo,1929-11-04,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Manuel Dias Baptista,1958-01-30,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Ruben Luis Tristão de Carvalho E Silva,1944-07-21,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PCP,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Manuel da Fonseca Matias,1949-03-03,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PCP,SETÚBAL,1,PCP,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carmen Isabel Amador Francisco,1970-10-22,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PEV,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Lucília Maria Samoreno Ferra,1964-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,SETÚBAL,1,PSD,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Manuel de Carvalho Ferreira Vitorino,1957-01-12,0,,,0,,,1,UEDS,PORTO,1,UEDS,PORTO,1,PS,BRAGA,1,PS,GUARDA,0,,,1,PS,SETÚBAL,0,,,0,,,1,PS,SETÚBAL,0,,,0,,,0,,,0,,,0,,
Aires Manuel Jacinto de Carvalho,1952-10-10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Garcia dos Santos,1946-05-02,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria Fernanda dos Santos Martins Catarino Costa,1953-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,SETÚBAL,1,PS,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José de Matos Leitão,1951-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,SETÚBAL,1,PS,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria Amélia Macedo Antunes,1952-02-10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Manuel Amândio,1958-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Ana Catarina Veiga Santos Mendonça Mendes,1973-01-14,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL,1,PS,SETÚBAL
Nuno Krus Abecasis,1929-01-01,0,,,1,CDS,LISBOA,1,CDS,LISBOA,1,CDS,LISBOA,0,,,0,,,0,,,1,CDS-PP,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Almeida Figueiredo Barbosa Pombeiro,1949-05-18,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Adalberto Paulo da Fonseca Mendo,1932-10-03,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Eugénio Pereira de Brito,1935-11-19,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Manuel Taveira da Silva,1954-01-21,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Domingos Dias Gomes,1940-07-03,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Sérgio André da Costa Vieira,1970-08-22,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,
Luís Maria de Barros Serra Marques Guedes,1957-08-25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,SANTARÉM,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,1,PSD,LISBOA,1,PSD,LISBOA,0,,
Bernardino Manuel de Vasconcelos,1947-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Pedro José da Vinha Rodrigues Costa,1960-10-15,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João Eduardo Guimarães Moura de Sá,1967-06-02,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,
Maria do Céu Baptista Ramos,1962-08-02,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,ÉVORA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Carlos Pires Póvoas,1954-10-18,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Edmundo Barbosa Montalvão Machado,1952-12-09,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,VILA REAL,0,,,0,,,0,,,0,,
Manuel António Araújo dos Santos,1946-01-01,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Luciano da Silva Gomes,1943-02-16,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Júlio Vieira Mesquita,1940-01-01,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Augusto Lopes de Lemos,1946-01-01,0,,,0,,,0,,,1,CDS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Manuel dos Santos Gomes,1946-04-13,0,,,0,,,1,PS,PORTO,1,PS,PORTO,1,PS,PORTO,0,,,0,,,0,,,1,PS,PORTO,1,PS,PORTO,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,
Daniel Bessa Fernandes Coelho,1948-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Francisco José Pereira de Assis Miranda,1965-01-08,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,1,PS,PORTO,1,PS,PORTO,0,,,1,PS,GUARDA,1,PS,PORTO,0,,,0,,,0,,
Maria Jesuína Carrilho Bernardo,1943-11-25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,1,PS,EUROPA,0,,,0,,,0,,,0,,,0,,
Sérgio Paulo Mendes de Sousa Pinto,1972-07-29,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,1,PS,AVEIRO,1,PS,AVEIRO,1,PS,LISBOA,1,PS,LISBOA,1,PS,LISBOA
Isabel Maria Teixeira de Carvalho Pedroto,1961-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Rosa Maria Correia dos Santos Mota,1958-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Augusto Nunes Pina Moura,1952-02-22,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,1,PS,LISBOA,1,PS,GUARDA,1,PS,GUARDA,0,,,0,,,0,,,0,,,0,,
Joaquim Barbosa Ferreira Couto,1951-05-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,
Júlio Manuel de Castro Lopes Faria,1942-04-24,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jorge Manuel Gouveia Strecht Ribeiro,1943-09-07,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,1,PS,PORTO,1,PS,PORTO,1,PS,PORTO,1,PS,PORTO,0,,,0,,,0,,,0,,
Luís Pedro de Carvalho Martins,1968-10-07,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Afonso Teixeira de Magalhães Lobão,1951-02-13,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Fernando Rabaça Barradas E Silva,1947-04-12,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Pedro Luis da Rocha Baptista,1948-04-20,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Sérgio Carlos Branco Barros E Silva,1966-07-11,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Manuel Oliveira de Sousa Peixoto,1948-08-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Patrícia Monte Pinto Ribeiro,1972-09-13,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Augusto Ernesto Santos Silva,1956-08-20,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTO,1,PS,PORTO,0,,,1,PS,PORTO,0,,,0,,,1,PS,FORA DA EUROPA
João Luís Duarte Fernandes,1946-01-01,0,,,1,PS,PORTO,0,,,1,PS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Eugénio Pimentel Cavaleiro Brandão,1946-01-01,0,,,1,CDS,PORTO,1,CDS,PORTO,1,CDS,PORTO,1,CDS,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Maria Mendonça da Silva Carvalho,1957-06-04,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Sílvio Rui Neves Correia Gonçalves Cervan,1969-03-26,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,PORTO,1,CDS-PP,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Augusto Torres Boucinha,1946-02-04,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Jose de Moura E Silva,1958-03-02,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Álvaro António Magalhães Ferrão de Castello-Branco,1961-04-16,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,PORTO,1,CDS-PP,PORTO,1,CDS-PP,PORTO,0,,,0,,,1,CDS-PP,PORTO,0,,,0,,
Henrique Jorge Campos Cunha,1943-04-19,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,PORTO,1,CDS-PP,PORTO,1,CDS-PP,PORTO,0,,,0,,,0,,,0,,,0,,
Cristiano Manuel Soares Ribeiro,1956-05-06,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PCP,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Miguel Pacheco Gonçalves,1973-02-05,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PEV,LISBOA,0,,,0,,,0,,,0,,,0,,
António Manuel do Carmo Saleiro,1952-10-29,0,,,0,,,0,,,1,PS,BEJA,0,,,0,,,0,,,1,PS,BEJA,1,PS,BEJA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Agostinho Marques Moleiro,1945-09-27,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,BEJA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Batista Mestre Soeiro,1948-01-17,0,,,0,,,1,PCP,BRAGA,1,PCP,BEJA,0,,,0,,,0,,,0,,,0,,,0,,,1,PCP,BEJA,1,PCP,BEJA,0,,,0,,,0,,,0,,
Júlio Meirinhos Santana,1954-12-05,0,,,0,,,0,,,0,,,1,PS,BRAGANÇA,0,,,0,,,1,PS,BRAGANÇA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Augusto Gama,1942-03-02,0,,,1,CDS,FORA DA EUROPA,1,CDS,FORA DA EUROPA,1,CDS,FORA DA EUROPA,1,CDS,FORA DA EUROPA,0,,,0,,,1,PSD,BRAGANÇA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Antonio Fernando da Cruz Oliveira,1955-07-17,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGANÇA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João Calvão da Silva,1952-02-20,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fausto de Sousa Correia,1951-10-29,0,,,0,,,0,,,0,,,1,PS,COIMBRA,0,,,0,,,1,PS,COIMBRA,1,PS,COIMBRA,1,PS,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,
Maria Manuela de Brito Arcanjo Marques da Costa,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Alberto Cardoso Rodrigues Beja,1949-03-06,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Francisco Fernando Osório Gomes,1941-07-23,0,,,0,,,0,,,0,,,0,,,1,PS,COIMBRA,0,,,1,PS,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria João Fernandes Rodrigues,1955-09-25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
António Fernando Marques Ribeiro Reis,1948-05-09,1,PS,SANTARÉM,1,PS,SANTARÉM,1,PS,SANTARÉM,0,,,0,,,0,,,0,,,1,PS,AVEIRO,1,PS,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Gilberto Parca Madail,1944-12-14,0,,,0,,,0,,,0,,,0,,,1,PSD,AVEIRO,0,,,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Alves de Oliveira,1957-11-14,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,
Paulo Sacadura Cabral Portas,1962-09-12,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,AVEIRO,1,CDS-PP,AVEIRO,1,CDS-PP,AVEIRO,1,CDS-PP,AVEIRO,1,CDS-PP,AVEIRO,1,CDS-PP,AVEIRO,1,CDS-PP,LISBOA,0,,,0,,
José Ernesto Ildefonso Leão D' Oliveira,1952-09-07,0,,,1,PCP,ÉVORA,1,PCP,ÉVORA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Júlio José Pina Vilela,1954-10-05,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,ÉVORA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Martim Afonso Pacheco Gracias,1934-03-27,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,FARO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria do Carmo Romão Sacadura dos Santos,1937-08-25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,FARO,1,PS,LISBOA,1,PS,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,
Paulo Jorge dos Santos Neves,1967-04-20,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,FARO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jorge Manuel Fernandes Valente,1954-09-17,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,FARO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Horácio Neto Carvalho,1950-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Eduardo da Silva E Sousa,1957-04-13,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,FARO,0,,,0,,,0,,
António dos Santos Aguiar Gouveia,1944-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,GUARDA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Antonio Soares Gomes,1940-09-29,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,GUARDA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Alberto Dias dos Santos,1954-03-28,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,GUARDA,1,PS,GUARDA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Victor Brito de Moura,1949-06-22,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,GUARDA,1,PS,GUARDA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Henrique Jose de Sousa Neto,1936-04-27,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Arnaldo Augusto Homem Rebelo,1954-01-01,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Osvaldo Alberto Rosário Sarmento E Castro,1946-08-10,0,,,1,PS,LEIRIA,1,PCP,LEIRIA,0,,,0,,,0,,,0,,,1,PS,LEIRIA,1,PS,LEIRIA,1,PS,LEIRIA,1,PS,LEIRIA,1,PS,SETÚBAL,0,,,0,,,0,,,0,,
João Pedro da Silva Correia,1965-06-24,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LEIRIA,1,PS,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria de Lurdes Ferreira da Silva Farinha,1947-05-19,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jorge Manuel Rosendo Gonçalves,1955-08-17,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,LEIRIA,1,PS,LEIRIA,0,,,0,,,0,,
José Gonçalves Sapinho,1938-08-28,1,Independente desde 1975-12-12  PPD até 1975-12-12,LEIRIA,1,Independente desde 1979-04-18  PPD até 1979-04-18,LEIRIA,0,,,0,,,0,,,0,,,0,,,1,PSD,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Paulo Jorge Frazão Batista dos Santos,1968-12-03,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,0,,,0,,,0,,
Gonçalo Filipe Ribas Ribeiro da Costa,1960-06-30,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Manuel Gomes da Encarnação,1961-05-15,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,CDS-PP,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Francisco Manuel Pepino Fonenga,1948-04-24,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,PORTALEGRE,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
